"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"STO";"Opération comptable";"D51A";"Impôts sur le revenu des personnes physiques ou des ménages, a l’exclusion des gains de détention"
"STO";"Opération comptable";"D51B";"Impôts sur le revenu ou les bénéfices des sociétés a l’exclusion des gains de détention"
"STO";"Opération comptable";"D51E";"Autres impôts sur le revenu n,c,a,"
"STO";"Opération comptable";"D59A";"Impôts courants sur le capital"
"STO";"Opération comptable";"D59D";"Paiements effectués par les ménages en vue de l’obtention de licences"
"STO";"Opération comptable";"D59F";"Autres impôts courants n,c,a,"
"STO";"Opération comptable";"D611C";"Cotisations sociales effectives obligatoires à la charge des employeurs"
"STO";"Opération comptable";"D613C";"Cotisations sociales effectives obligatoires à la charge des ménages"
"STO";"Opération comptable";"D9";"Transferts en capital"
"STO";"Opération comptable";"D91A";"Impôts sur les transferts en capital"
"STO";"Opération comptable";"D91B";"Prélèvements sur le capital"
"STO";"Opération comptable";"D91C";"Autres impôts en capital n,c,a,"
"STO";"Opération comptable";"D995A";"Impôts sur les produits dus non recouvrables"
"STO";"Opération comptable";"D995B";"Autres impôts sur la production dus non recouvrables"
"STO";"Opération comptable";"D995C";"Impôts sur le revenu dus non recouvrables"
"STO";"Opération comptable";"D995D";"Autres impôts courants dus non recouvrables "
"STO";"Opération comptable";"D995E";"Cotisations sociales effectives à la charge des employeurs dues non recouvrables"
"STO";"Opération comptable";"D995FE";"Cotisations sociales effectives à la charge des salariés dues non recouvrables"
"STO";"Opération comptable";"D995FN";"Cotisations sociales effectives a la charge des non employés dues non recouvrables"
"STO";"Opération comptable";"D995FS";"Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrable"
"STO";"Opération comptable";"D995F";"Cotisations sociales effectives à la charge des ménages dues non recouvrables"
"STO";"Opération comptable";"OED";"Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension"
"STO";"Opération comptable";"OEC";"Consommation intermédiaire + autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension"
"STO";"Opération comptable";"B9F";"Solde des flux nets d’actifs et passifs financiers"
"TIME_PERIOD";"Période temporelle";"2023";"2023"
"TIME_PERIOD";"Période temporelle";"2022";"2022"
"TIME_PERIOD";"Période temporelle";"2021";"2021"
"TIME_PERIOD";"Période temporelle";"2020";"2020"
"TIME_PERIOD";"Période temporelle";"1981";"1981"
"TIME_PERIOD";"Période temporelle";"1980";"1980"
"TIME_PERIOD";"Période temporelle";"1979";"1979"
"TIME_PERIOD";"Période temporelle";"1978";"1978"
"TIME_PERIOD";"Période temporelle";"1977";"1977"
"TIME_PERIOD";"Période temporelle";"1976";"1976"
"TIME_PERIOD";"Période temporelle";"1975";"1975"
"TIME_PERIOD";"Période temporelle";"2019";"2019"
"TIME_PERIOD";"Période temporelle";"1974";"1974"
"TIME_PERIOD";"Période temporelle";"2018";"2018"
"TIME_PERIOD";"Période temporelle";"1973";"1973"
"TIME_PERIOD";"Période temporelle";"1972";"1972"
"TIME_PERIOD";"Période temporelle";"1971";"1971"
"TIME_PERIOD";"Période temporelle";"2017";"2017"
"TIME_PERIOD";"Période temporelle";"2016";"2016"
"TIME_PERIOD";"Période temporelle";"1970";"1970"
"TIME_PERIOD";"Période temporelle";"1969";"1969"
"TIME_PERIOD";"Période temporelle";"2015";"2015"
"TIME_PERIOD";"Période temporelle";"1968";"1968"
"TIME_PERIOD";"Période temporelle";"1967";"1967"
"TIME_PERIOD";"Période temporelle";"2014";"2014"
"TIME_PERIOD";"Période temporelle";"1966";"1966"
"TIME_PERIOD";"Période temporelle";"1965";"1965"
"TIME_PERIOD";"Période temporelle";"2013";"2013"
"TIME_PERIOD";"Période temporelle";"1964";"1964"
"TIME_PERIOD";"Période temporelle";"2012";"2012"
"TIME_PERIOD";"Période temporelle";"1963";"1963"
"TIME_PERIOD";"Période temporelle";"1962";"1962"
"TIME_PERIOD";"Période temporelle";"2011";"2011"
"TIME_PERIOD";"Période temporelle";"1961";"1961"
"TIME_PERIOD";"Période temporelle";"2010";"2010"
"TIME_PERIOD";"Période temporelle";"1960";"1960"
"TIME_PERIOD";"Période temporelle";"1959";"1959"
"TIME_PERIOD";"Période temporelle";"1958";"1958"
"TIME_PERIOD";"Période temporelle";"1957";"1957"
"TIME_PERIOD";"Période temporelle";"1956";"1956"
"TIME_PERIOD";"Période temporelle";"1955";"1955"
"TIME_PERIOD";"Période temporelle";"1954";"1954"
"TIME_PERIOD";"Période temporelle";"1953";"1953"
"TIME_PERIOD";"Période temporelle";"2009";"2009"
"TIME_PERIOD";"Période temporelle";"2008";"2008"
"TIME_PERIOD";"Période temporelle";"2007";"2007"
"TIME_PERIOD";"Période temporelle";"2006";"2006"
"TIME_PERIOD";"Période temporelle";"2005";"2005"
"TIME_PERIOD";"Période temporelle";"2004";"2004"
"TIME_PERIOD";"Période temporelle";"2003";"2003"
"TIME_PERIOD";"Période temporelle";"2002";"2002"
"TIME_PERIOD";"Période temporelle";"2001";"2001"
"TIME_PERIOD";"Période temporelle";"2000";"2000"
"TIME_PERIOD";"Période temporelle";"1999";"1999"
"TIME_PERIOD";"Période temporelle";"1952";"1952"
"TIME_PERIOD";"Période temporelle";"1998";"1998"
"TIME_PERIOD";"Période temporelle";"1951";"1951"
"TIME_PERIOD";"Période temporelle";"1950";"1950"
"TIME_PERIOD";"Période temporelle";"1997";"1997"
"TIME_PERIOD";"Période temporelle";"1996";"1996"
"TIME_PERIOD";"Période temporelle";"1995";"1995"
"TIME_PERIOD";"Période temporelle";"1994";"1994"
"TIME_PERIOD";"Période temporelle";"1993";"1993"
"TIME_PERIOD";"Période temporelle";"1992";"1992"
"TIME_PERIOD";"Période temporelle";"1991";"1991"
"TIME_PERIOD";"Période temporelle";"1990";"1990"
"TIME_PERIOD";"Période temporelle";"1989";"1989"
"TIME_PERIOD";"Période temporelle";"1988";"1988"
"TIME_PERIOD";"Période temporelle";"1987";"1987"
"TIME_PERIOD";"Période temporelle";"1986";"1986"
"TIME_PERIOD";"Période temporelle";"1985";"1985"
"TIME_PERIOD";"Période temporelle";"1984";"1984"
"TIME_PERIOD";"Période temporelle";"1983";"1983"
"TIME_PERIOD";"Période temporelle";"1982";"1982"
"TIME_PERIOD";"Période temporelle";"1949";"1949"
"TIME_PERIOD";"Période temporelle";"2024";"2024"
"TRANSFORMATION";"Transformation chronologique";"N";"Aucune"
"TRANSFORMATION";"Transformation chronologique";"GY_IX";"Croissance annuelle de l’indice"
"TRANSFORMATION";"Transformation chronologique";"GY";"Croissance annuelle "
"TRANSFORMATION";"Transformation chronologique";"GR_IX";"Evolution de l’indice en base 100 sur l’année de référence"
"TRANSFORMATION";"Transformation chronologique";"DY";"Ecart annuel "
"UNIT_MEASURE";"Unité de mesure";"XDC";"Devise nationale (Euros)"
"UNIT_MEASURE";"Unité de mesure";"IX";"Indice"
"UNIT_MEASURE";"Unité de mesure";"PT";"Pourcentage"
"UNIT_MEASURE";"Unité de mesure";"PS";"Personnes"
"UNIT_MEASURE";"Unité de mesure";"FT";"Équivalent temps plein"
"UNIT_MEASURE";"Unité de mesure";"HW";"Heures travaillées"
"UNIT_MEASURE";"Unité de mesure";"DAT";"Durée annuelle travaillée"
"UNIT_MEASURE";"Unité de mesure";"_Z";"Nombre"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"6";"Millions"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"0";"Unités"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"3";"Milliers"
